primary_school,full_service_restaurant,hospital,large_hotel,large_office,medium_office,midrise_apartment,outpatient,supermarket,strip_mall,standalone_retail,small_office,small_hotel,secondary_school,quick_service_restaurant,warehouse
60.11109515,22.44666435,795.0043045,138.3009477,407.367778,69.49178757,17.08342807,75.95994244,84.99350852,15.10699921,12.56968366,5.182150229,37.51732305,198.5851451,13.54823106,19.04742657
62.55056313,14.66423788,675.6761771,139.6616871,369.9057986,72.97193772,16.83570141,64.50242725,81.28437729,15.10699921,12.56968366,5.645244043,38.94914246,195.7028887,9.488665861,19.0592578
61.70992284,14.6849733,654.322988,123.0945357,401.8246523,86.81969571,16.60052541,79.94067775,90.0859686,15.10699921,12.56968366,5.361798988,36.00726168,220.5200362,9.512961064,20.57932505
62.94431389,14.69219814,644.9910866,123.3972627,369.1390597,76.66415453,16.55784045,72.01068046,88.32233815,15.10699921,12.56968366,5.645244043,37.51949031,195.8193813,9.524449087,19.50081677
62.34563864,14.83866153,649.0684597,132.2769513,412.6863984,91.13858767,18.69917221,103.4843413,90.568397,15.10699921,12.56968366,5.361798988,40.3914309,217.848025,9.673354248,20.90710699
63.5686406,22.56188995,676.0005882,149.2546656,407.8120653,76.33693321,23.00413623,135.9515891,93.85018771,15.10699921,12.56968366,5.645244043,44.18836332,209.4211082,13.6781987,19.48377282
62.21218419,38.53138245,787.9343467,257.9097762,496.2819303,84.9258207,28.05076033,181.2931544,122.5435567,23.70960729,26.05022652,5.361798988,62.50643118,208.0308989,28.16844247,20.36357586
56.64690918,42.83545902,809.4606372,302.1412141,451.5846891,62.22168088,27.13128403,205.2764816,123.6731839,23.3235906,28.32874957,3.928411379,71.54050247,181.5745255,26.23501968,13.02579747
53.31719977,41.78590066,920.7946465,354.1060832,454.9067456,62.21184001,23.20727874,215.1498779,156.357769,33.1377203,40.44671948,2.915470498,94.48001478,191.8362432,20.60867239,10.9195997
51.60164295,34.31615268,963.9574029,301.8526216,394.6433487,47.31228301,20.31718214,228.2319178,131.0218209,49.52999719,57.87765322,2.878640865,80.03161165,170.7202855,20.63570254,9.491394959
48.04606302,41.83682287,1044.904955,234.1504368,383.9752176,52.78907802,17.3095657,229.1323244,167.4231855,49.52999719,57.78325412,2.308234106,55.70005305,184.8074968,25.64411374,10.10297446
47.65250724,42.56782699,1084.599363,215.421111,346.2059198,44.2381394,17.42107382,228.9263942,196.916447,49.52999719,57.55300587,2.310010817,53.72989349,169.9719831,26.77239632,9.023012293
46.93982314,41.8741303,1103.899215,207.635234,382.1630239,49.73433793,17.20823766,217.5276083,204.3413912,49.52999719,57.51955991,2.205686254,53.34250823,187.1116478,25.86468701,9.738696771
46.99179696,34.3618686,1105.205944,186.1260661,352.6712069,41.1514675,16.6455136,230.3331621,201.7756964,49.52999719,57.51955991,1.925018768,52.62547101,171.3661091,25.67485267,8.755281842
47.02183793,34.37707386,1112.22178,189.6939978,391.6448274,40.18380004,16.27631523,227.7722066,197.9510462,49.52999719,57.51955991,1.925018768,52.25492663,167.34062,20.688948,9.186943305
47.01652818,34.3672134,1117.76144,192.361895,360.3169804,33.94016835,17.57151735,225.3242755,194.5328017,49.52999719,57.51955991,1.925018768,51.81621969,123.9575497,20.67563642,8.327989611
52.62881185,44.96882526,1103.724296,227.1188526,479.0975051,51.96861785,28.59098219,230.8149084,204.479225,55.27249719,61.65705135,3.460352102,60.96522307,178.7565137,22.48409338,15.13598255
55.48344479,46.02510174,1058.061963,260.2910205,494.6764298,54.06558825,37.47499511,237.6043969,179.1149826,61.01499719,65.89072203,4.228018768,70.12739035,183.5030879,28.11667485,17.65019032
55.48403679,46.02853937,1028.944654,332.3766912,529.9448826,60.46007073,39.61950668,145.8775382,184.8049142,49.17020798,53.2835742,4.228018768,85.0598093,202.7842793,28.1203623,18.59412278
55.68150886,38.65615191,1016.600985,343.0385227,467.5173783,56.20409736,38.73370964,147.695138,164.7187681,49.17020798,53.3336134,4.44076405,85.77065835,196.4247594,28.24871735,17.93550207
55.65447374,38.63044135,929.9747683,378.4341884,497.8083197,64.41620673,38.37404494,118.851366,156.3850284,44.6227203,48.34349823,4.580075002,91.98720565,200.5823949,23.22784374,19.04640952
55.5472353,38.57106508,919.6092033,360.6878908,443.2904323,57.84596508,32.91568123,88.80979297,144.6568794,22.37764918,20.69360682,4.578422887,89.77180688,193.7768266,23.17603758,18.16492842
55.4034633,38.47513149,940.2715389,305.34865,459.4814852,63.65795268,26.03011522,77.29603521,88.21243845,15.10699921,12.56968366,4.369865091,66.8556964,199.6256949,23.08677825,19.0030419
56.11094775,39.25210858,944.6584819,221.7957574,400.9728235,57.30687914,20.2717721,75.56762076,123.2505294,15.10699921,12.56968366,4.441295627,43.32660974,195.1824289,24.25318855,18.05057302
