load,pv_cf
386.52,0
465.98,0
598.72,0
1275.62,0.0155
1238.82,0.0961
1189.93,0.1196
1191.15,0.1661
1142.94,0.1276
1193.63,0.0522
1192.86,0.1331
1191.18,0.029
1238.75,0
1127.41,0
888.52,0
864.1,0
664.79,0
640.38,0
384.61,0
322.79,0
310.56,0
312.1,0
312.5,0
312.16,0
324.81,0
386.25,0
466.2,0
598.86,0
1275.72,0.0129
1238.84,0.0299
1190.56,0.046
1193.15,0.0544
1144.77,0.058
1231.1,0.0531
1273.41,0.0548
1253.8,0.0851
1239.56,0
1127.39,0
888.51,0
864.08,0
664.78,0
651.51,0
384.61,0
322.79,0
260.72,0
261.87,0
262.68,0
262.31,0
274.98,0
299.02,0
466.27,0
449.38,0.0184
777.48,0.2188
740.58,0.3091
691.6,0.171
691.71,0.4814
692.27,0.3068
692.35,0.5702
355.18,0.3014
355.13,0.1534
409.83,0.0844
392.53,0
370.72,0
346.28,0
346.28,0
321.84,0
297.39,0
272.94,0
261.85,0
261.86,0
262.61,0
262.24,0
274.84,0
298.91,0
348.19,0
331.19,0.0137
311.04,0.0832
273.98,0.1822
225.47,0.153
225.08,0.1304
224.71,0.1829
224.71,0.1247
224.33,0.2267
225.08,0.0931
274.35,0.0415
361.97,0
372.62,0
347.8,0
348.18,0
323.36,0
299.31,0
274.49,0
312.53,0
312.14,0
312.6,0
329.35,0
346.3,0
403.45,0
466.95,0
608.46,0.0187
1275.98,0.0162
1239.08,0.041
1190.04,0.082
1189.99,0.1069
1140.15,0.0633
1189.94,0.5652
1189.89,0.3129
1189.88,0.3856
1238.79,0.1824
1127.49,0
888.63,0
864.21,0
664.91,0
640.5,0
384.61,0
322.79,0
310.56,0
312.09,0
312.47,0
312.13,0
324.74,0
386.22,0
466.28,0
598.88,0.0285
1275.7,0.271
1238.87,0.4557
1189.94,0.5881
1190.99,0.594
1142.46,0.6551
1193.42,0.6364
1193.03,0.4981
1191.39,0.4149
1238.79,0.162
1127.42,0
888.54,0
864.12,0
664.82,0
640.4,0
384.61,0
322.79,0
310.56,0
311.71,0
312.5,0
312.12,0
324.79,0
386.24,0
466.26,0
598.88,0.0195
1275.78,0.0976
1238.95,0.1101
1189.99,0.4085
1189.95,0.1487
1140.11,0.1601
1189.9,0.569
1189.88,0.0476
1189.89,0.3689
1238.8,0.0893
1127.49,0
888.61,0
864.17,0
664.86,0
640.43,0
384.61,0
322.79,0
310.56,0
310.56,0
311.71,0
312.1,0
324.7,0
386.18,0
466.06,0
598.71,0.0139
1275.71,0.0224
1238.95,0.0382
1189.93,0.1324
1189.9,0.1337
1187.02,0.1945
1271.37,0.6023
1305.76,0.5659
1307.28,0.446
1343.69,0.132
1183.25,0
888.57,0
864.18,0
664.86,0
640.39,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
