original_load,net_load,pv_cf,reopt_grid_to_load,python_dispatcher,original_load_hold
0,0,0,349.78,0.00E+00,349.78
1,1,0,334.18,2.04E+02,334.18
2,2,0,351.56,2.00E+02,351.56
3,3,0,333.19,2.03E+02,333.19
4,4,0,363.27,2.33E+02,363.27
5,5,0,369.99,2.40E+02,369.99
6,6,0,436.34,3.06E+02,436.34
7,-28.4135392,0.0162913,390.612,2.60E+02,412.3
8,-419.6783787,0.196745,180.88,4.15E+01,400.05
9,-844.8720724,0.392807,0,-3.81E+02,346.88
10,-998.1206178,0.463766,0,-8.65E+02,317.63
11,-643.9155994,0.301281,0,-8.77E+02,300.1
12,-1037.376599,0.482745,0,-1.03E+03,318.97
13,-120.4012216,0.0613686,0,-8.63E+02,299.94
14,-567.9964847,0.267736,0,-6.36E+02,318.73
15,-150.019141,0.0759138,0,-2.13E+02,299.81
16,-7.448674367,0.0107871,0,1.64E+02,387.47
17,17,0,132.621,4.03E+02,446.29
18,18,0,464.42,4.21E+02,464.42
19,19,0,421.58,3.78E+02,421.58
20,20,0,440.35,3.97E+02,440.35
21,21,0,397.28,3.54E+02,397.28
22,22,0,390.78,3.47E+02,390.78
23,23,0,227.933,3.05E+02,348.06
24,24,0,404.24,3.61E+02,404.24
25,25,0,386.03,3.43E+02,386.03
26,26,0,404.34,3.61E+02,404.34
27,27,0,386,3.43E+02,386
28,28,0,417.45,3.74E+02,417.45
29,29,0,460.76,4.17E+02,460.76
30,30,0,590.43,5.47E+02,590.43
31,-3.894225548,0.0160524,460.403,4.11E+02,611.59
32,-427.5958436,0.211428,579.197,5.06E+02,1277.37
33,-488.5461148,0.239927,111.682,2.05E+01,1240.27
34,-810.5052975,0.388498,0,8.88E+00,1248.77
35,-1058.751939,0.503159,0,-3.71E+01,1249.69
36,-841.277054,0.403574,0,-7.43E+01,1197.96
37,-510.9465514,0.252072,0,1.96E+01,1249.43
38,-123.6045831,0.074343,159.707,1.13E+02,1250.55
39,-162.118722,0.0925207,886.305,8.58E+02,1252.7
40,30.40945719,0.00441194,1115.92,1.11E+03,1343.22
41,41,0,1115.92,1.11E+03,1241.07
42,42,0,993.07,9.93E+02,993.07
43,43,0,970.41,9.70E+02,970.41
44,44,0,776.31,7.76E+02,776.31
45,45,0,753.84,7.54E+02,753.84
46,46,0,384.61,3.85E+02,384.61
47,47,0,322.79,3.23E+02,322.79
48,48,0,326.05,3.26E+02,326.05
49,49,0,336.19,3.36E+02,336.19
50,50,0,358.41,3.58E+02,358.41
51,51,0,408.19,4.29E+02,408.19
52,52,0,450.23,4.58E+02,450.23
53,53,0,484.7,5.10E+02,484.7
54,54,0,597.69,6.15E+02,597.69
55,55,0,687.26,6.93E+02,687.26
56,19.35002042,0.0168601,1115.92,1.11E+03,1331.55
57,-20.23535236,0.0355306,1115.92,1.11E+03,1294.46
58,-48.00585044,0.0487659,1102.57,1.11E+03,1246.25
59,-55.13227221,0.0525043,1115.92,1.11E+03,1247.37
60,-71.15028279,0.0603331,1115.92,1.03E+03,1203.31
61,-44.15938441,0.0483765,1115.92,1.11E+03,1264.83
62,-6.047478703,0.0313039,1115.92,1.11E+03,1268.74
63,-30.21669203,0.0428825,1115.92,1.11E+03,1266.32
64,64,0,1115.92,1.11E+03,1318.83
65,65,0,1115.92,1.11E+03,1200.56
66,66,0,937.21,9.37E+02,937.21
67,67,0,920.92,9.21E+02,920.92
68,68,0,721.62,7.22E+02,721.62
69,69,0,697.09,6.97E+02,697.09
70,70,0,384.61,3.85E+02,384.61
71,71,0,324.05,3.24E+02,324.05
72,72,0,312.28,3.12E+02,312.28
73,73,0,372.41,3.72E+02,372.41
74,74,0,434.26,4.34E+02,434.26
75,75,0,410.88,4.11E+02,410.88
76,76,0,447.44,4.47E+02,447.44
77,77,0,485.36,4.85E+02,485.36
78,78,0,593.8,5.94E+02,593.8
79,63.63396767,0.00706884,610.25,5.85E+02,610.25
80,-207.5962923,0.132303,881.282,8.63E+02,1311.28
81,-781.9801687,0.396997,379.195,3.66E+02,1303.21
82,-1081.006078,0.535018,209.167,1.91E+02,1253.09
83,-1045.00186,0.518915,73.383,4.85E+01,1277.46
84,-696.8812233,0.359229,433.743,1.32E+02,1247.59
85,-1014.351571,0.505735,983.631,6.02E+02,1312.81
86,-756.5032553,0.387577,580.96,5.69E+02,1316.46
87,-309.8130184,0.182546,1115.92,9.82E+02,1302.78
88,58.11848807,0.0137464,1115.92,1.11E+03,1343.12
89,89,0,1115.92,1.11E+03,1212.52
90,90,0,948.28,9.48E+02,948.28
91,91,0,922.57,9.23E+02,922.57
92,92,0,723.12,7.23E+02,723.12
93,93,0,698.11,6.98E+02,698.11
94,94,0,384.61,3.85E+02,384.61
95,95,0,324.05,3.24E+02,324.05
96,96,0,312.3,3.12E+02,312.3
97,97,0,366.44,3.66E+02,366.44
98,98,0,410.5,4.10E+02,410.5
99,99,0,434.92,4.35E+02,434.92
100,100,0,422.59,4.23E+02,422.59
101,101,0,510.03,5.10E+02,510.03
102,102,0,591.07,5.91E+02,591.07
103,63.32434996,0.018252,582.845,5.82E+02,610.58
104,-371.4947973,0.218742,839.602,8.21E+02,1276.69
105,-741.3943036,0.389367,456.671,4.20E+02,1310.41
106,-1033.798909,0.524342,90.898,4.14E+01,1258.69
107,-1212.411003,0.606969,0,1.78E+01,1296.63
108,-1094.188282,0.553043,0,1.90E+01,1292.35
109,-982.9759693,0.502342,95.3068,6.81E+01,1352.56
110,-669.9551973,0.358803,417.635,3.79E+02,1354.58
111,-325.5908357,0.200845,877.165,9.03E+02,1353.04
112,110.8786368,0.000515861,1115.92,1.11E+03,1406.88
113,113,0,1115.92,1.11E+03,1270.44
114,114,0,989.43,9.89E+02,989.43
115,115,0,951.27,9.51E+02,951.27
116,116,0,744.69,7.45E+02,744.69
117,117,0,722.92,7.23E+02,722.92
118,118,0,384.61,3.85E+02,384.61
119,119,0,322.79,3.23E+02,322.79
120,120,0,310.56,3.11E+02,310.56
121,121,0,310.56,3.11E+02,310.56
122,122,0,310.56,3.11E+02,310.56
123,123,0,318.68,3.19E+02,318.68
124,124,0,359.09,3.59E+02,359.09
125,125,0,403.8,4.04E+02,403.8
126,126,0,609.94,6.10E+02,609.94
127,93.56980855,0.0153789,533.961,5.27E+02,707.67
128,-294.9743404,0.194581,631.623,6.27E+02,1351.9
129,-717.2334446,0.389293,171.213,1.22E+02,1325.45
130,-869.1885969,0.459657,0,5.77E+00,1289.03
131,-424.0830384,0.255355,13.0632,1.09E+01,1298.26
132,-170.7105151,0.139256,363.198,3.51E+02,1259.27
133,-58.32262753,0.0880142,0,1.77E+01,1331.51
134,42.83599899,0.0419382,199.344,1.76E+02,1342.32
135,47.29185853,0.0403484,805.683,8.09E+02,1345.37
136,105.9350219,0.0138308,1115.92,1.11E+03,1388.94
137,137,0,1115.92,1.11E+03,1251.93
138,138,0,984.34,9.84E+02,984.34
139,139,0,940.55,9.41E+02,940.55
140,140,0,727.74,7.28E+02,727.74
141,141,0,650.38,6.50E+02,650.38
142,142,0,384.61,3.85E+02,384.61
143,143,0,324.06,3.24E+02,324.06
144,144,0,262.94,2.63E+02,262.94
145,145,0,323.26,3.23E+02,323.26
146,146,0,386.85,3.87E+02,386.85
147,147,0,360.95,3.61E+02,360.95
148,148,0,398.01,3.98E+02,398.01
149,149,0,398.18,3.98E+02,398.18
150,150,0,594.29,5.94E+02,594.29
151,141.567099,0.00433942,442.16,4.41E+02,460.72
152,-94.73593762,0.113506,494.652,4.83E+02,778.05
153,-713.8625219,0.398783,538.909,5.27E+02,824.81
154,-1035.041321,0.546995,487.6,4.76E+02,766.41
155,-1085.042313,0.570457,428.728,4.13E+02,808.26
156,-1025.552684,0.54355,497.723,4.84E+02,825.33
157,-1033.247764,0.54755,677.861,6.71E+02,830.3
158,-762.8633163,0.423625,255.985,2.46E+02,494.34
159,-290.9725638,0.207001,424.333,4.22E+02,487.31
160,160,0,526.451,5.26E+02,530.83
161,161,0,497.34,4.97E+02,497.34
162,162,0,370.72,3.71E+02,370.72
163,163,0,346.28,3.46E+02,346.28
164,164,0,366.69,3.67E+02,366.69
165,165,0,345.73,3.46E+02,345.73
166,166,0,324.72,3.25E+02,324.72
167,167,0,274.62,2.75E+02,274.62
168,168,0,262.81,2.63E+02,262.81
169,169,0,262.42,2.62E+02,262.42
170,170,0,338.39,3.38E+02,338.39
171,171,0,368.89,3.69E+02,368.89
172,172,0,424.7,4.25E+02,424.7
173,173,0,419.5,4.19E+02,419.5
174,174,0,499.75,5.00E+02,499.75
175,175,0,427.281,4.27E+02,433.12
176,81.48404565,0.0434802,183.607,1.78E+02,311.23
177,-213.9960099,0.17987,0.334478,1.49E+01,274.14
178,-1.219293551,0.0824463,0,-9.10E-01,239.71
179,33.23480937,0.0670564,0,4.65E+00,263.91
180,40.46200829,0.0641917,0,5.76E+00,273.65
181,69.19887874,0.0514319,0,8.94E+00,247.21
182,99.83779793,0.0377971,0,1.60E+01,255.38
183,140.2849847,0.0196502,0,-5.23E+00,255.61
184,184,0,265.445,2.42E+02,315.91
185,185,0,395.77,3.74E+02,395.77
186,186,0,404.08,3.82E+02,404.08
187,187,0,379.82,3.58E+02,379.82
188,188,0,379.92,3.58E+02,379.92
189,189,0,321.83,3.00E+02,321.83
190,190,0,297.39,2.76E+02,297.39
191,191,0,272.94,2.51E+02,272.94
192,192,0,310.56,2.89E+02,310.56
193,193,0,310.56,2.89E+02,310.56
194,194,0,0,2.89E+02,310.56
195,195,0,310.56,2.89E+02,310.56
196,196,0,322.79,3.01E+02,322.79
197,197,0,384.61,3.63E+02,384.61
198,198,0,654.44,6.33E+02,654.44
199,199,0,697.743,6.72E+02,800.55
200,39.55099302,0.0738114,838.765,7.90E+02,1466.87
201,-77.1556092,0.12796,331.692,2.63E+02,1431.71
202,-65.92367381,0.123253,0,-4.13E+00,1383.65
203,-232.2865737,0.200245,0,2.48E-01,1384.79
204,-72.79917672,0.127336,0,1.75E+01,1335.5
205,-241.7423416,0.205515,250.891,1.81E+02,1386.36
206,75.21382369,0.0601656,802.795,7.42E+02,1373.97
207,158.6833968,0.0222271,909.63,8.79E+02,1340.67
208,208,0,1115.92,1.11E+03,1391.43
209,209,0,1115.92,1.11E+03,1277.43
210,210,0,1030.45,1.01E+03,1030.45
211,211,0,987.17,9.65E+02,987.17
212,212,0,789.26,7.68E+02,789.26
213,213,0,762.16,7.40E+02,762.16
214,214,0,384.61,3.63E+02,384.61
215,215,0,322.79,3.23E+02,322.79
216,216,0,319.42,3.19E+02,319.42
217,217,0,334.69,3.35E+02,334.69
218,218,0,312.25,3.12E+02,312.25
219,219,0,312.68,2.91E+02,312.68
220,220,0,448.23,4.48E+02,448.23
221,221,0,494.66,4.95E+02,494.66
222,222,0,605.48,6.05E+02,605.48
223,186.4763165,0.016802,434.251,4.27E+02,609.42
224,-244.390917,0.215474,629.819,5.99E+02,1355.31
225,-470.0455673,0.319742,32.569,6.60E+01,1296.83
226,-105.5412266,0.152519,0,1.51E+01,1247.56
227,-1055.309097,0.589901,0,-1.34E+02,1247.73
228,-959.2414396,0.546167,0,-9.30E+01,1197.99
229,-893.856546,0.516548,0,9.81E+00,1247.9
230,-621.8287286,0.391867,0,2.65E+01,1248.18
231,-290.3004788,0.239814,535.173,4.94E+02,1248.36
232,167.7381418,0.0295624,1110.82,1.09E+03,1307.68
233,233,0,1115.92,1.11E+03,1196.33
234,234,0,946.81,9.47E+02,946.81
235,235,0,864.53,8.65E+02,864.53
236,236,0,665.28,6.65E+02,665.28
237,237,0,640.87,6.41E+02,640.87
238,238,0,384.61,3.85E+02,384.61
239,239,0,324.94,3.25E+02,324.94
240,240,0,312.32,3.12E+02,312.32
241,241,0,312.8,3.13E+02,312.8
242,242,0,428.63,4.29E+02,428.63
243,243,0,414.5,4.14E+02,414.5
244,244,0,450.95,4.51E+02,450.95
245,245,0,486.73,4.87E+02,486.73
246,246,0,594.43,5.94E+02,594.43
247,205.0923229,0.0192788,592.675,5.75E+02,610.4
248,-243.1089873,0.225925,1115.92,1.11E+03,1276.68
249,-537.6895368,0.361901,1040.14,1.03E+03,1239.5
250,-182.7932595,0.199098,974.738,9.63E+02,1250.42
251,-114.4520386,0.168119,898.056,8.83E+02,1251.73
252,-544.2976002,0.366321,896.526,8.50E+02,1210.37
253,-972.978021,0.563987,982.568,9.58E+02,1269.72
254,-694.4484576,0.436315,1070.53,1.04E+03,1272.6
255,-261.5573126,0.237632,1115.92,1.11E+03,1270.78
256,173.9925704,0.0377259,1115.92,1.11E+03,1321.39
257,257,0,1115.92,1.11E+03,1200.05
258,258,0,937.78,9.38E+02,937.78
259,259,0,864.51,8.65E+02,864.51
260,260,0,665.56,6.66E+02,665.56
261,261,0,641.42,6.41E+02,641.42
262,262,0,385.48,3.85E+02,385.48
263,263,0,324.56,3.25E+02,324.56
264,264,0,420.26,4.20E+02,420.26
265,265,0,410.29,4.10E+02,410.29
266,266,0,435.1,4.35E+02,435.1
267,267,0,410.08,3.88E+02,410.08
268,268,0,457.24,4.57E+02,457.24
269,269,0,503.49,5.03E+02,503.49
270,270,0,590.59,5.91E+02,590.59
271,271,0,588.704,5.88E+02,610.6
272,181.4127002,0.0416729,1015.78,1.00E+03,1276.86
273,-78.45948114,0.161682,347.869,2.88E+02,1239.77
274,-318.219725,0.272439,0,1.28E+01,1263.25
275,-169.3446732,0.204412,0,7.51E+00,1250.05
276,-459.9211384,0.338546,531.391,4.60E+02,1211.63
277,-339.1681491,0.283456,943.887,9.29E+02,1279.21
278,-89.3888677,0.16901,948.785,9.30E+02,1288.07
279,-142.9939701,0.19413,1115.92,1.11E+03,1288.68
280,197.23762,0.0380732,1115.92,1.11E+03,1345.3
281,281,0,1115.92,1.11E+03,1224.53
282,282,0,957.41,9.57E+02,957.41
283,283,0,923.3,9.02E+02,923.3
284,284,0,684.64,6.85E+02,684.64
285,285,0,640.81,6.19E+02,640.81
286,286,0,384.84,3.85E+02,384.84
287,287,0,324.96,3.03E+02,324.96
288,288,0,352.05,3.30E+02,352.05
289,289,0,410.45,4.10E+02,410.45
290,290,0,434.19,4.34E+02,434.19
291,291,0,410.51,4.11E+02,410.51
292,292,0,456.03,4.56E+02,456.03
293,293,0,503.16,5.03E+02,503.16
294,294,0,589.46,5.89E+02,589.46
295,295,0,584.488,5.62E+02,611.18
296,167.4999776,0.0591139,947,9.11E+02,1277.11
297,27.88075269,0.123803,504.45,4.73E+02,1239.95
298,6.75612163,0.133981,561.826,5.34E+02,1211.41
299,-28.10021452,0.150476,339.896,2.79E+02,1261.2
300,-51.07689762,0.161506,398.294,3.64E+02,1198.44
301,152.5221618,0.0683043,762.28,7.42E+02,1248.79
302,62.73096233,0.110071,585.887,5.50E+02,1258.41
303,181.9892674,0.0556686,821.236,7.99E+02,1278.76
304,304,0,1115.92,1.11E+03,1347.6
305,305,0,1115.92,1.11E+03,1229.11
306,306,0,967.56,9.68E+02,967.56
307,307,0,934.45,9.34E+02,934.45
308,308,0,726.5,7.26E+02,726.5
309,309,0,701.87,7.02E+02,701.87
310,310,0,384.61,3.85E+02,384.61
311,311,0,322.79,3.23E+02,322.79
312,312,0,262.81,2.63E+02,262.81
313,313,0,188.229,2.41E+02,262.39
314,314,0,262.85,2.63E+02,262.85
315,315,0,303.81,3.04E+02,303.81
316,316,0,374.11,3.74E+02,374.11
317,317,0,422.08,4.22E+02,422.08
318,318,0,591.56,5.92E+02,591.56
319,316.2551371,0.00126272,354.31,3.50E+02,461.08
320,116.5968631,0.0935716,534.983,5.25E+02,778.76
321,98.62767654,0.102298,204.477,1.82E+02,741.87
322,205.9941554,0.0533662,0,-4.72E+02,692.83
323,187.2793658,0.0624356,0,-6.37E+02,692.79
324,170.2888105,0.0707118,0,-6.28E+02,692.77
325,199.2689258,0.0578401,0,-4.31E+02,692.88
326,240.1923856,0.0394741,0,-6.20E+02,356.74
327,245.0195251,0.0377135,0,-5.56E+01,356.93
328,326.1569561,0.000847856,0,1.73E+02,405.97
329,329,0,404.79,3.40E+02,404.79
330,330,0,117.781,3.66E+02,431.45
331,331,0,445.38,3.80E+02,445.38
332,332,0,468.94,4.04E+02,468.94
333,333,0,420.36,3.55E+02,420.36
334,334,0,418.75,3.54E+02,418.75
335,335,0,370.84,3.06E+02,370.84
336,336,0,381.88,3.17E+02,381.88
337,337,0,358.65,2.94E+02,358.65
338,338,0,381.75,3.17E+02,381.75
339,339,0,297.756,2.94E+02,358.56
340,340,0,393.78,3.50E+02,393.78
341,341,0,81.3514,3.30E+02,395.02
342,342,0,465.59,4.01E+02,465.59
343,343,0,328.643,2.81E+02,424.36
344,290.1765853,0.0247604,237.288,1.64E+02,424.76
345,266.9349196,0.0359123,0,8.87E-02,365.6
346,237.9134169,0.0497231,0,-6.14E+02,338.48
347,219.5759937,0.0586189,0,-2.66E+01,316.15
348,-56.4951216,0.18608,0,-3.68E+02,337.83
349,19.19996314,0.151718,0,-4.92E+02,315.73
350,107.2572779,0.111669,0,-4.68E+02,337.53
351,-128.5814849,0.220622,0,-1.30E+02,315.55
352,306.8375371,0.0207761,0,1.92E+02,385.63
353,353,0,461.61,4.18E+02,461.61
354,354,0,482.46,4.39E+02,482.46
355,355,0,435.93,3.93E+02,435.93
356,356,0,142.771,4.13E+02,456.44
357,357,0,409.92,3.67E+02,409.92
358,358,0,405.29,3.62E+02,405.29
359,359,0,359.32,3.16E+02,359.32
360,360,0,52.8014,3.23E+02,366.47
361,361,0,345.04,3.02E+02,345.04
362,362,0,363.79,3.20E+02,363.79
363,363,0,342.99,3.00E+02,342.99
364,364,0,373.97,3.31E+02,373.97
365,365,0,378.15,3.56E+02,378.15
366,366,0,445.35,4.02E+02,445.35
367,324.4988837,0.0195518,382.288,3.38E+02,408.98
368,-108.5273381,0.219217,67.7981,7.70E+01,406.69
369,-201.7602676,0.262567,0,-8.43E+01,350.8
370,-52.41568148,0.194324,0,5.38E+00,320.54
371,-753.3955751,0.517256,0,-1.18E+00,301.55
372,-282.0917405,0.300902,16.1348,3.20E+01,319.71
373,-746.6198024,0.515059,150.497,1.01E+02,300.85
374,-514.4154515,0.408698,225.637,1.78E+02,319.06
375,-173.7682365,0.25245,0,1.19E+02,299.95
376,253.8349955,0.0561996,347.56,3.25E+02,366.12
377,377,0,445.49,4.02E+02,445.49
378,378,0,463.01,4.20E+02,463.01
379,379,0,420.31,3.77E+02,420.31
380,380,0,437.2,3.94E+02,437.2
381,381,0,394.22,3.51E+02,394.22
382,382,0,386.49,3.43E+02,386.49
383,383,0,344.34,3.23E+02,344.34
384,384,0,398.69,3.55E+02,398.69
385,385,0,381.04,3.38E+02,381.04
386,386,0,397.29,3.76E+02,397.29
387,387,0,379.8,3.36E+02,379.8
388,388,0,408.23,3.65E+02,408.23
389,389,0,453,4.31E+02,453
390,390,0,577.7,5.34E+02,577.7
391,345.0391114,0.0211434,580.84,5.36E+02,606.49
392,-81.78621412,0.217956,952.724,8.95E+02,1282
393,-378.5101009,0.354918,342.389,5.88E+02,1244.75
394,-745.9097716,0.524393,0,7.22E+00,1195.55
395,-829.5368115,0.563324,0,3.28E+00,1195.33
396,-897.6735663,0.595129,0,-9.77E+01,1145.46
397,-720.7720979,0.514209,0,1.18E+01,1195.08
398,-477.2771856,0.402654,903.836,8.57E+02,1194.95
399,-138.6537505,0.247337,998.272,9.61E+02,1194.92
400,278.2330128,0.0560165,1115.92,1.11E+03,1243.89
401,401,0,1115.92,1.11E+03,1143.02
402,402,0,894.08,8.51E+02,894.08
403,403,0,869.77,8.48E+02,869.77
404,404,0,670.55,6.27E+02,670.55
405,405,0,646.05,6.03E+02,646.05
406,406,0,469.3,4.26E+02,469.3
407,407,0,439.59,3.96E+02,439.59
408,408,0,402.47,3.59E+02,402.47
409,409,0,425.1,3.82E+02,425.1
410,410,0,317.718,3.80E+02,401.28
411,411,0,110.301,4.02E+02,423.97
412,412,0,412.72,3.91E+02,412.72
413,413,0,496.31,4.75E+02,496.31
414,414,0,584.58,5.63E+02,584.58
415,415,0,428.687,4.00E+02,604.69
416,347.9366528,0.0313112,545.37,4.92E+02,1280.87
417,339.47771,0.0356626,44.9264,-5.91E+00,1243.79
418,286.8299359,0.0603422,0,-1.07E+02,1192.3
419,147.0005074,0.125128,0,-2.65E+02,1191.05
420,183.6438141,0.108731,0,-3.00E+02,1140.93
421,305.3406544,0.0532068,0,-9.55E+01,1190.5
422,334.035571,0.0404663,0,-1.09E+01,1266.91
423,381.6601116,0.0190176,425.848,3.26E+02,1246.43
424,406.8706924,0.00788,986.502,8.93E+02,1248.63
425,425,0,1115.92,1.09E+03,1138.73
426,426,0,890.08,8.47E+02,890.08
427,427,0,865.62,8.22E+02,865.62
428,428,0,352.681,6.01E+02,666.35
429,429,0,642.25,5.99E+02,642.25
430,430,0,118.324,3.36E+02,401.51
431,431,0,441.9,3.77E+02,441.9
432,432,0,424.82,3.60E+02,424.82
433,433,0,125.651,3.74E+02,439.32
434,434,0,423.47,3.80E+02,423.47
435,435,0,437.26,3.72E+02,437.26
436,436,0,434.57,3.70E+02,434.57
437,437,0,509.99,4.67E+02,509.99
438,438,0,584.86,5.20E+02,584.86
439,381.6529041,0.0263814,448.428,3.98E+02,604.62
440,-79.50277099,0.238987,571.783,4.77E+02,1280.8
441,-468.44885,0.418374,77.8733,6.76E+00,1243.58
442,-750.9475858,0.548792,0,-9.08E+00,1193.02
443,-705.478773,0.528335,0,-1.65E+02,1191.98
444,-783.9583255,0.564898,0,-2.00E+02,1141.72
445,-682.2779941,0.518582,0,-2.24E+01,1191.58
446,-450.4757906,0.412406,0,3.06E+00,1191.13
447,-99.79445334,0.251542,430.474,3.77E+02,1190.79
448,328.8117561,0.0548302,1006.33,9.58E+02,1239.68
449,449,0,1115.92,1.11E+03,1138.94
450,450,0,890.21,8.69E+02,890.21
451,451,0,866.37,8.45E+02,866.37
452,452,0,667.5,6.46E+02,667.5
453,453,0,643.14,6.21E+02,643.14
454,454,0,400.25,3.79E+02,400.25
455,455,0,444.67,4.23E+02,444.67
456,456,0,408.18,3.86E+02,408.18
457,457,0,443.61,4.22E+02,443.61
458,458,0,427.1,4.05E+02,427.1
459,459,0,443.69,4.22E+02,443.69
460,460,0,439.23,4.18E+02,439.23
461,461,0,518.01,4.96E+02,518.01
462,462,0,590.92,5.69E+02,590.92
463,421.7503231,0.0189761,595.197,5.64E+02,600.41
464,54.78997127,0.188249,1115.92,1.11E+03,1276.8
465,-287.4330953,0.346142,974.703,9.40E+02,1286.67
466,-508.774986,0.448426,984.539,9.52E+02,1250.42
467,-201.0060423,0.307303,905.49,8.69E+02,1248.32
468,-24.23500011,0.226443,737.779,6.78E+02,1205.73
469,-129.9062416,0.275515,919.871,8.82E+02,1271.46
470,-359.5062845,0.381598,1060.68,1.04E+03,1284.44
471,-96.81263547,0.261211,1115.05,1.09E+03,1289.8
472,325.7800567,0.0672656,1115.92,1.11E+03,1331.9
473,473,0,1115.92,1.11E+03,1216.13
474,474,0,959,9.37E+02,959
475,475,0,928.86,9.07E+02,928.86
476,476,0,723.62,7.02E+02,723.62
477,477,0,698.03,6.98E+02,698.03
478,478,0,384.61,3.85E+02,384.61
479,479,0,324.7,3.25E+02,324.7
480,480,0,0,2.68E+02,268.41
481,481,0,378.2,3.78E+02,378.2
482,482,0,360.72,3.61E+02,360.72
483,483,0,385.07,3.85E+02,385.07
484,484,0,386.18,3.86E+02,386.18
485,485,0,431.09,4.31E+02,431.09
486,486,0,591.31,5.70E+02,591.31
487,457.8275718,0.0134202,114.883,4.28E+02,451.49
488,164.1886995,0.148963,609.173,5.80E+02,778.92
489,130.630104,0.164861,485.688,4.74E+02,761.37
490,75.88159861,0.190507,390.675,3.53E+02,762.7
491,-379.2883834,0.400359,335.683,3.18E+02,751.5
492,153.57227,0.155687,340.144,3.01E+02,753.25
493,375.8244498,0.0539043,374.467,3.58E+02,761.09
494,258.7002664,0.108245,109.338,1.20E+02,434.11
495,414.955702,0.0368228,248.071,2.18E+02,437.42
496,487.3578948,0.00397563,437.118,4.35E+02,479.45
497,497,0,464.2,4.64E+02,464.2
498,498,0,370.72,3.71E+02,370.72
499,499,0,348.38,3.48E+02,348.38
500,500,0,364.6,3.65E+02,364.6
501,501,0,443.7,4.44E+02,443.7
502,502,0,397.75,3.98E+02,397.75
503,503,0,408.11,4.08E+02,408.11
504,504,0,379.51,3.80E+02,379.51
505,505,0,394.35,3.94E+02,394.35
506,506,0,377.8,3.78E+02,377.8
507,507,0,392.94,3.93E+02,392.94
508,508,0,390.26,3.69E+02,390.26
509,509,0,429.89,4.30E+02,429.89
510,510,0,463.5,4.63E+02,463.5
511,511,0,403.283,4.01E+02,462.09
512,476.4658166,0.0163468,0,-1.24E+01,429.74
513,367.2624163,0.0670437,0,-4.59E+02,406.75
514,393.3148981,0.0555188,0,-6.55E+02,340.68
515,352.4526528,0.0747767,0,-8.78E+02,284.34
516,370.7804256,0.0668054,0,-9.65E+02,254.09
517,319.8344961,0.0907021,0,-9.11E+02,263.26
518,407.0653435,0.0510333,0,-6.47E+02,255.8
519,447.9053305,0.0327057,0,-2.50E+01,263.97
520,471.3364631,0.0223867,191.523,1.86E+02,318.52
521,521,0,444.24,4.44E+02,444.24
522,522,0,429.05,4.29E+02,429.05
523,523,0,422.85,4.23E+02,422.85
524,524,0,451.4,4.51E+02,451.4
525,525,0,448.62,4.49E+02,448.62
526,526,0,447.46,4.47E+02,447.46
527,527,0,392.61,3.93E+02,392.61
528,528,0,457.84,4.58E+02,457.84
529,529,0,429.17,4.29E+02,429.17
530,530,0,456.77,4.57E+02,456.77
531,531,0,426.24,4.26E+02,426.24
532,532,0,464.71,4.65E+02,464.71
533,533,0,497.89,4.98E+02,497.89
534,534,0,620.08,6.20E+02,620.08
535,535,0,618.665,6.15E+02,700.41
536,485.3820265,0.0232858,830.803,8.09E+02,1344.84
537,445.1236546,0.0422659,564.819,5.33E+02,1315.96
538,248.3603639,0.133243,186.85,1.41E+02,1261.01
539,340.4880629,0.0913215,337.617,2.99E+02,1252.04
540,373.5881245,0.0765545,149.143,1.04E+02,1202.45
541,424.3785438,0.0536494,573.531,5.45E+02,1253.77
542,378.0949161,0.0754013,165.985,1.20E+02,1250.78
543,443.7673995,0.04565,528.217,4.85E+02,1247.66
544,533.6332257,0.00476903,1115.92,1.11E+03,1296.27
545,545,0,1115.92,1.11E+03,1184.72
546,546,0,945.6,9.46E+02,945.6
547,547,0,920.91,9.21E+02,920.91
548,548,0,684.11,6.84E+02,684.11
549,549,0,641.01,6.41E+02,641.01
550,550,0,385.25,3.85E+02,385.25
551,551,0,327.23,3.27E+02,327.23
552,552,0,429.57,4.30E+02,429.57
553,553,0,417.52,4.18E+02,417.52
554,554,0,444.66,4.45E+02,444.66
555,555,0,418.06,4.18E+02,418.06
556,556,0,465.88,4.66E+02,465.88
557,557,0,506.24,5.15E+02,506.24
558,558,0,605.42,6.15E+02,605.42
559,559,0,599.6,6.15E+02,599.6
560,477.7584553,0.0378336,1115.92,1.11E+03,1354.01
561,432.9197326,0.0589208,1115.92,1.10E+03,1296.11
562,431.2229535,0.0601614,970.919,9.59E+02,1246.81
563,357.0939843,0.094723,926.484,9.13E+02,1247.21
564,412.9879807,0.0694701,845.356,8.30E+02,1197.57
565,438.0020527,0.0584229,847.323,8.43E+02,1247.5
566,476.0954813,0.0413588,1008.84,1.01E+03,1247.82
567,515.5520811,0.0236676,1115.92,1.11E+03,1248.07
568,557.6347473,0.00476833,1115.92,1.11E+03,1297.18
569,569,0,1115.92,1.11E+03,1186.01
570,570,0,946.81,9.47E+02,946.81
571,571,0,921.95,9.22E+02,921.95
572,572,0,722.52,7.23E+02,722.52
573,573,0,697.81,6.98E+02,697.81
574,574,0,384.61,3.85E+02,384.61
