original_load,net_load,pv_cf,reopt_grid_to_load,python_dispatcher,original_load_hold
7331,5950.516929,0.635064,0,-1.29E+01,1322.35
7332,6011.591236,0.607428,0,1.07E+01,1381.25
7333,6181.0345,0.529939,6.50843,1.06E+01,1391.37
7334,6524.772816,0.372269,340.536,2.74E+02,1392.8
7335,7062.526626,0.125346,808.289,7.60E+02,1445.57
7336,7318.305817,0.00813986,1099.7,1.07E+03,1278.21
7337,7337,0,1085.83,1.06E+03,1085.83
7338,7338,0,1059.07,1.04E+03,1059.07
7339,7339,0,861.54,8.40E+02,861.54
7340,7340,0,839.03,8.17E+02,839.03
7341,7341,0,384.61,3.63E+02,384.61
7342,7342,0,322.79,3.01E+02,322.79
7343,7343,0,310.56,2.89E+02,310.56
7344,7344,0,310.56,2.89E+02,310.56
7345,7345,0,310.56,2.89E+02,310.56
7346,7346,0,310.56,2.89E+02,310.56
7347,7347,0,322.79,3.01E+02,322.79
7348,7348,0,384.61,3.63E+02,384.61
7349,7349,0,692.42,6.92E+02,692.42
7350,7350,0,792.996,7.70E+02,828.03
7351,7066.105704,0.13106,1075.07,1.06E+03,1493.81
7352,6662.288864,0.317288,621.679,5.63E+02,1487.93
7353,6381.276987,0.447022,281.991,2.31E+02,1475.85
7354,6332.315057,0.470006,106.308,4.68E+01,1508.91
7355,6523.659054,0.382442,0,-2.14E+00,1472.53
7356,6326.469921,0.473615,0,3.63E+01,1530.38
7357,6441.351558,0.421226,316.481,2.43E+02,1543.08
7358,6671.916886,0.315619,578.381,5.35E+02,1548.9
7359,6952.746298,0.186889,1110.3,1.06E+03,1580.75
7360,7297.603019,0.0287045,1182.68,1.14E+03,1385.41
7361,7361,0,1171.6,1.14E+03,1171.6
7362,7362,0,1144.2,1.14E+03,1144.2
7363,7363,0,941.43,9.41E+02,941.43
7364,7364,0,912.2,9.12E+02,912.2
7365,7365,0,384.61,3.63E+02,384.61
7366,7366,0,322.79,3.01E+02,322.79
7367,7367,0,310.56,3.11E+02,310.56
7368,7368,0,260.72,2.61E+02,260.72
7369,7369,0,260.72,2.61E+02,260.72
7370,7370,0,260.72,2.61E+02,260.72
7371,7371,0,272.94,2.73E+02,272.94
7372,7372,0,297.39,2.76E+02,297.39
7373,7373,0,754.84,7.55E+02,754.84
7374,7374,0,737.264,7.37E+02,737.89
7375,7076.026196,0.137537,984.974,9.82E+02,1055.25
7376,6715.497812,0.303851,796.205,7.64E+02,1047.28
7377,6802.037835,0.2645,752.389,7.41E+02,1019.73
7378,6335.303397,0.479672,706.245,6.71E+02,1032.81
7379,6194.051888,0.545112,354.429,6.52E+02,1047.63
7380,6178.83339,0.552573,587.457,5.68E+02,1057.91
7381,6622.695552,0.348843,391.335,3.78E+02,716.44
7382,7039.118215,0.157736,473.926,4.42E+02,709.57
7383,7253.177673,0.0597222,576.17,5.69E+02,745.5
7384,7350.446121,0.0154358,629.827,6.06E+02,679.25
7385,7385,0,370.72,3.49E+02,370.72
7386,7386,0,346.28,3.25E+02,346.28
7387,7387,0,346.28,3.25E+02,346.28
7388,7388,0,321.84,3.22E+02,321.84
7389,7389,0,297.39,2.76E+02,297.39
7390,7390,0,272.94,2.73E+02,272.94
7391,7391,0,260.72,2.61E+02,260.72
7392,7392,0,260.72,2.61E+02,260.72
7393,7393,0,180.328,2.61E+02,260.72
7394,7394,0,260.72,2.61E+02,260.72
7395,7395,0,272.94,2.73E+02,272.94
7396,7396,0,0,2.76E+02,297.39
7397,7397,0,346.28,3.25E+02,346.28
7398,7398,0,329.128,3.28E+02,350.19
7399,7097.82634,0.138549,126.245,1.18E+02,309.13
7400,6695.870248,0.323921,0,-8.63E+00,272.46
7401,6402.122252,0.459514,0,-3.49E+02,223.57
7402,6254.851574,0.527723,0,-2.82E+02,223.57
7403,7257.632392,0.0668735,0,-1.03E+03,223.57
7404,7148.468989,0.117552,0,-4.68E+02,523.49
7405,7258.871355,0.0672236,0,-2.60E+02,490.87
