year,pv_price_low,pv_price_mid,pv_price_high,com_e_price_ref,com_e_price_ref_no_cpp,com_e_price_high_econ,com_e_price_low_econ,com_e_price_high_oil_price,com_e_price_low_oil_price,com_e_price_low_oil_resource,com_e_price_high_oil_resource,batt_kWh_cost_low,batt_kWh_cost_mid,batt_kWh_cost_high,batt_kW_cost_low,batt_kW_cost_mid,batt_kW_cost_high
2040,884.1207033,1046.642891,2249.114594,1.082126765,1.048494029,1.07888131,1.121679745,1.185420824,1.044605553,1.286390441,0.948326589,0.163687863,0.436061931,0.650338154,0.395907182,0.593323672,1
2041,878.9199933,1040.792093,2249.114594,1.085691392,1.050564876,1.082299786,1.127059249,1.193852231,1.046506694,1.299960046,0.946232458,0.162293141,0.432346414,0.644796872,0.395907182,0.593323672,1
2042,873.7192832,1034.941294,2249.114594,1.089267762,1.052639812,1.085729094,1.132464553,1.202343606,1.048411295,1.313672791,0.944142951,0.16089842,0.428630897,0.639255589,0.395907182,0.593323672,1
2043,868.5185732,1029.090495,2249.114594,1.092855912,1.054718847,1.089169267,1.137895781,1.210895377,1.050319362,1.327530186,0.942058058,0.159503698,0.42491538,0.633714306,0.395907182,0.593323672,1
2044,863.3178632,1023.239696,2249.114594,1.096455882,1.056801989,1.092620341,1.143353056,1.219507974,1.052230901,1.341533756,0.939977768,0.158108976,0.421199863,0.628173024,0.395907182,0.593323672,1
2045,858.1171532,1017.388898,2249.114594,1.100067711,1.058889244,1.096082349,1.148836505,1.228181828,1.05414592,1.355685045,0.937902073,0.156714255,0.417484346,0.622631741,0.395907182,0.593323672,1
2046,852.9164432,1011.538099,2249.114594,1.103691438,1.060980622,1.099555328,1.154346251,1.236917375,1.056064424,1.36998561,0.935830961,0.155423497,0.414045789,0.617503513,0.395907182,0.593323672,1
2047,847.7157331,1005.6873,2249.114594,1.107327101,1.063076131,1.10303931,1.159882422,1.245715055,1.05798642,1.384437026,0.933764423,0.15413274,0.410607231,0.612375284,0.395907182,0.593323672,1
2048,842.5150231,999.8365012,2249.114594,1.110974741,1.065175778,1.106534331,1.165445144,1.25457531,1.059911913,1.399040883,0.931702448,0.152841983,0.407168673,0.607247056,0.395907182,0.593323672,1
2049,837.3143131,993.9857024,2249.114594,1.114634396,1.067279572,1.110040427,1.171034544,1.263498583,1.061840911,1.413798791,0.929645027,0.151551225,0.403730116,0.602118827,0.395907182,0.593323672,1
2050,832.1136031,988.1349037,2249.114594,1.118306107,1.069387522,1.113557632,1.176650751,1.272485324,1.063773419,1.428712374,0.927592149,0.150260468,0.400291558,0.596990599,0.395907182,0.593323672,1
